Date,Price,Open,High,Low,Vol.,Change %
04/24/2024,6572.75,6538.98,6595.41,6538.98,66.90K,1.01%
04/23/2024,6506.80,6463.65,6515.43,6463.65,61.60K,0.97%
04/22/2024,6444.08,6484.61,6509.66,6439.44,60.74K,0.02%
04/19/2024,6443.00,6511.50,6540.81,6406.98,103.20K,-1.23%
04/18/2024,6523.19,6481.90,6548.89,6481.01,101.53K,1.13%
04/17/2024,6450.04,6432.10,6497.82,6424.81,94.50K,0.70%
04/16/2024,6404.97,6534.94,6534.94,6404.97,122.34K,-2.40%
04/15/2024,6562.43,6630.43,6630.43,6556.93,91.56K,-1.46%
04/12/2024,6659.39,6681.26,6719.20,6659.39,130.98K,-0.27%
04/11/2024,6677.65,6727.27,6727.27,6669.68,123.39K,-0.94%
04/08/2024,6741.07,6750.74,6750.74,6686.50,81.39K,-0.07%
04/05/2024,6745.46,6819.23,6819.23,6728.84,84.94K,-1.20%
04/04/2024,6827.06,6870.90,6881.58,6809.78,69.38K,-0.54%
04/03/2024,6863.82,6960.55,6964.93,6863.82,64.39K,-1.39%
04/02/2024,6960.43,7016.93,7070.72,6960.43,133.02K,-0.28%
04/01/2024,6979.81,6948.54,6991.77,6947.27,84.98K,1.10%
03/27/2024,6903.53,6884.46,6925.37,6884.46,113.04K,0.08%
03/26/2024,6898.17,6840.85,6898.17,6797.65,92.11K,0.66%
03/25/2024,6853.10,6879.75,6886.53,6843.50,95.50K,-0.42%
03/22/2024,6881.97,6917.68,6919.76,6871.45,98.09K,-1.17%
03/21/2024,6963.22,6875.24,6963.22,6875.24,87.23K,1.55%
03/20/2024,6856.77,6856.02,6871.22,6840.70,93.05K,0.12%
03/19/2024,6848.43,6851.35,6900.59,6831.18,118.53K,-0.07%
03/18/2024,6853.29,6838.03,6910.29,6838.03,76.90K,0.45%
03/15/2024,6822.32,6946.70,6946.70,6790.96,405.52K,-2.09%
03/14/2024,6967.96,6962.44,6989.38,6939.01,118.45K,0.04%
03/13/2024,6965.51,6890.23,6980.64,6889.56,122.38K,1.25%
03/12/2024,6879.59,6885.92,6928.41,6878.49,101.35K,0.11%
03/11/2024,6872.24,6939.54,6939.54,6852.21,79.76K,-1.01%
03/08/2024,6942.21,6839.74,6942.21,6835.53,75.81K,1.53%
03/07/2024,6837.34,6849.63,6851.86,6806.46,76.93K,-0.60%
03/06/2024,6878.54,6882.43,6894.48,6856.38,89.11K,-0.39%
03/05/2024,6905.46,6969.08,6981.84,6905.46,88.75K,-0.66%
03/04/2024,6951.67,6923.24,7021.04,6908.81,80.58K,0.46%
03/01/2024,6919.59,6931.32,7005.30,6919.59,57.47K,-0.36%
02/29/2024,6944.71,6885.65,6944.71,6885.65,153.07K,0.99%
02/28/2024,6876.52,6859.28,6878.23,6838.05,68.06K,0.23%
02/27/2024,6860.67,6887.36,6887.36,6842.33,91.39K,-0.45%
02/26/2024,6891.49,6918.73,6941.85,6891.49,59.68K,-0.31%
02/23/2024,6913.21,6915.25,6990.65,6913.21,71.38K,0.15%
02/22/2024,6903.15,6899.61,6922.50,6896.53,72.26K,0.08%
02/21/2024,6897.36,6846.53,6897.36,6833.92,84.92K,0.62%
02/20/2024,6854.66,6818.14,6860.80,6818.14,73.24K,0.82%
02/19/2024,6798.61,6882.32,6901.31,6798.61,92.81K,-1.09%
02/16/2024,6873.23,6893.22,6916.43,6873.23,93.23K,-0.13%
02/15/2024,6882.15,6862.38,6918.15,6855.73,83.44K,0.40%
02/14/2024,6854.53,6810.64,6854.53,6780.73,82.30K,0.39%
02/13/2024,6827.92,6824.08,6848.57,6824.08,99.30K,0.30%
02/12/2024,6807.82,6856.45,6891.69,6807.82,74.92K,-0.62%
02/08/2024,6850.16,6844.61,6931.55,6844.61,112.16K,0.29%
02/07/2024,6830.04,6772.93,6877.61,6772.93,104.63K,1.11%
02/06/2024,6755.26,6756.72,6774.21,6695.82,80.13K,0.40%
02/05/2024,6728.22,6702.12,6760.41,6702.12,69.86K,0.31%
02/02/2024,6707.25,6652.48,6765.38,6652.04,136.87K,1.27%
02/01/2024,6623.01,6623.94,6644.11,6601.34,65.61K,-0.35%
01/31/2024,6646.44,6633.45,6722.32,6633.45,97.11K,0.37%
01/30/2024,6622.01,6636.04,6662.44,6622.01,82.95K,-0.13%
01/29/2024,6630.68,6680.68,6689.18,6630.68,54.80K,-0.83%
01/26/2024,6686.09,6674.44,6686.09,6643.83,72.46K,0.19%
01/25/2024,6673.50,6676.40,6687.12,6642.70,88.46K,-0.10%
01/24/2024,6679.96,6630.26,6679.96,6626.82,76.56K,0.88%
01/23/2024,6621.88,6594.29,6624.43,6593.07,67.11K,0.58%
01/22/2024,6583.47,6532.83,6583.47,6532.83,74.95K,1.23%
01/19/2024,6503.54,6528.68,6528.68,6496.96,66.05K,-0.11%
01/18/2024,6510.87,6567.29,6570.30,6500.31,86.73K,-0.94%
01/17/2024,6572.51,6647.08,6663.68,6567.76,133.28K,-0.97%
01/16/2024,6637.00,6681.67,6696.25,6637.00,89.84K,-0.65%
01/15/2024,6680.45,6655.99,6695.41,6650.41,70.26K,0.56%
01/12/2024,6643.18,6619.91,6676.54,6619.91,70.18K,0.45%
01/11/2024,6613.73,6562.37,6637.70,6562.37,78.72K,1.03%
01/10/2024,6546.11,6587.67,6593.77,6546.11,83.99K,-1.09%
01/09/2024,6618.52,6628.55,6678.35,6618.52,96.50K,0.14%
01/08/2024,6609.22,6633.21,6661.25,6609.22,85.28K,-0.31%
01/05/2024,6629.64,6606.24,6629.64,6583.06,99.35K,0.41%
01/04/2024,6602.52,6505.11,6602.92,6493.37,88.79K,1.59%
01/03/2024,6498.88,6539.81,6544.90,6483.80,43.71K,-0.84%
01/02/2024,6554.04,6478.52,6555.61,6464.34,63.59K,1.61%
12/29/2023,6450.04,6514.75,6523.83,6450.04,77.99K,-1.06%
12/28/2023,6519.11,6478.60,6519.11,6472.29,60.97K,0.87%
12/27/2023,6462.80,6499.60,6500.54,6462.80,86.89K,-0.59%
12/22/2023,6501.00,6466.93,6501.00,6459.68,158.29K,0.49%
12/21/2023,6469.23,6486.27,6496.42,6428.12,204.16K,-0.79%
12/20/2023,6520.75,6521.96,6566.41,6500.97,197.43K,-0.01%
12/19/2023,6521.27,6476.38,6524.58,6447.89,114.51K,0.71%
12/18/2023,6475.50,6459.91,6516.33,6452.42,118.39K,-0.05%
12/15/2023,6478.44,6402.75,6478.44,6396.48,238.18K,1.06%
12/14/2023,6410.48,6280.26,6411.24,6280.26,156.48K,2.47%
12/13/2023,6255.74,6256.67,6306.01,6245.66,54.46K,-0.58%
12/12/2023,6292.39,6225.75,6292.39,6206.88,61.80K,1.03%
